application_id,applicant_country,destination_country,application_type,visa_category,submission_date,decision_date,season,priority_processing,biometrics_completed,countries_visited,schengen_visits,us_visits,uk_visits,overstay_history,previous_rejections,applicant_age,gender,employment_status,marital_status,document_completeness,supporting_docs_provided,interview_required,financial_docs_provided,sponsorship_letter,processing_office,application_status,rejection_reason
APP000001,Venezuela,Canada,Online,Tourist,27-12-2023,27-01-2024,Winter,No,Yes,7,1,2,2,No,0,37,F,Employed,Single,Yes,Yes,No,Yes,Yes,Office E - Border,Approved,
APP000002,Zimbabwe,Spain,Online,Business,21-12-2024,13-01-2025,Winter,No,Yes,16,5,1,2,No,0,54,F,Student,Married,Yes,Yes,No,Yes,No,Office B - Regional,Approved,
APP000003,Morocco,Spain,Online,Family,17-10-2024,02-07-2026,Fall,No,No,19,5,2,1,No,5,18,M,Self-Employed,Single,Yes,Yes,Yes,No,No,Office A - Metro,Rejected,Previous Visa Rejections
APP000004,Ecuador,South Korea,Mail,Business,01-10-2023,01-11-2023,Fall,No,Yes,31,10,4,3,No,2,36,F,Employed,Single,Yes,Yes,Yes,Yes,No,Office C - Small Town,Approved,
APP000005,Georgia,Canada,Online,Work,12-11-2024,27-01-2025,Fall,No,Yes,9,8,1,3,No,0,65,M,Self-Employed,Married,Yes,No,Yes,Yes,No,Office F - Consulate,Approved,
APP000006,Oman,Slovakia,Online,Student,28-03-2023,28-05-2023,Spring,No,Yes,16,3,1,1,No,0,38,M,Student,Married,Yes,Yes,Yes,Yes,Yes,Office C - Small Town,Approved,
APP000007,Brazil,Iceland,Online,Tourist,17-07-2024,01-09-2024,Summer,No,Yes,3,0,2,0,No,4,21,M,Employed,Single,Yes,Yes,No,Yes,No,Office C - Small Town,Rejected,Previous Visa Rejections
APP000008,Ukraine,Germany,In-Person,Business,18-02-2024,31-03-2024,Winter,No,Yes,1,1,0,0,No,1,62,F,Employed,Married,Yes,Yes,Yes,Yes,No,Office A - Metro,Rejected,Poor Travel History
APP000009,Venezuela,Italy,Online,Student,28-09-2024,22-11-2024,Fall,No,Yes,3,2,2,0,No,0,30,M,Student,Widowed,Yes,Yes,Yes,Yes,Yes,Office D - Capital,Approved,
APP000010,Bangladesh,France,Online,Tourist,13-03-2024,11-04-2024,Spring,No,Yes,15,4,3,0,No,0,32,M,Self-Employed,Married,Yes,Yes,No,Yes,Yes,Office E - Border,Approved,
APP000011,India,Italy,Mail,Business,30-01-2024,21-02-2024,Winter,No,Yes,11,4,2,2,No,0,56,M,Student,Single,Yes,No,No,Yes,No,Office F - Consulate,Approved,
APP000012,Armenia,Germany,Online,Business,01-02-2024,06-03-2024,Winter,No,No,43,7,1,1,No,0,65,M,Employed,Divorced,No,Yes,No,Yes,Yes,Office F - Consulate,Rejected,Incomplete Documentation
APP000013,Israel,Germany,In-Person,Tourist,30-01-2023,05-03-2023,Winter,No,Yes,26,8,4,4,No,0,60,F,Student,Married,Yes,Yes,No,Yes,No,Office C - Small Town,Approved,
APP000014,China,Latvia,Online,Business,06-02-2023,18-03-2023,Winter,No,Yes,19,6,1,3,No,3,47,M,Employed,Married,Yes,Yes,Yes,Yes,No,Office C - Small Town,Rejected,Previous Visa Rejections
APP000015,Ivory Coast,Australia,Online,Student,19-11-2024,17-01-2025,Fall,No,Yes,8,6,0,0,No,0,22,M,Employed,Single,Yes,Yes,Yes,Yes,No,Office A - Metro,Approved,
APP000016,Iraq,Ireland,Online,Tourist,29-05-2023,21-07-2023,Spring,No,Yes,17,5,0,4,No,2,42,F,Employed,Single,No,Yes,Yes,Yes,No,Office D - Capital,Rejected,Incomplete Documentation
APP000017,Morocco,Ireland,Online,Tourist,04-08-2024,01-09-2024,Summer,Yes,Yes,42,8,2,1,Yes,2,66,M,Employed,Married,Yes,Yes,Yes,Yes,No,Office F - Consulate,Rejected,Previous Visa Overstay
APP000018,Malaysia,Lithuania,Online,Work,20-09-2024,07-11-2024,Fall,No,Yes,14,3,1,2,No,1,49,M,Retired,Married,Yes,Yes,No,Yes,No,Office E - Border,Approved,
APP000019,Ghana,Greece,Online,Student,01-09-2024,27-10-2024,Fall,Yes,Yes,0,0,0,0,No,3,64,M,Employed,Married,No,Yes,Yes,Yes,Yes,Office F - Consulate,Rejected,Incomplete Documentation
APP000020,South Africa,Saudi Arabia,In-Person,Student,09-06-2023,27-07-2023,Summer,No,Yes,6,6,0,0,No,0,47,F,Student,Single,Yes,Yes,Yes,Yes,Yes,Office D - Capital,Approved,
APP000021,Mexico,France,In-Person,Family,22-03-2024,18-04-2025,Spring,No,Yes,4,0,0,0,No,0,20,F,Self-Employed,Divorced,Yes,Yes,Yes,Yes,Yes,Office A - Metro,Approved,
APP000022,Nigeria,France,In-Person,Business,13-09-2023,02-11-2023,Fall,No,Yes,10,2,0,1,No,1,42,M,Employed,Single,No,No,Yes,Yes,No,Office A - Metro,Rejected,Incomplete Documentation
APP000023,Palestine,Canada,Online,Tourist,12-12-2024,15-01-2025,Winter,No,Yes,12,4,0,1,Yes,0,23,M,Employed,Widowed,Yes,Yes,No,Yes,Yes,Office C - Small Town,Rejected,Previous Visa Overstay
APP000024,Belarus,Switzerland,Online,Tourist,05-04-2023,19-05-2023,Spring,Yes,Yes,7,3,0,0,No,2,23,F,Employed,Married,No,No,Yes,Yes,Yes,Office B - Regional,Rejected,Incomplete Documentation
APP000025,Nigeria,Germany,Mail,Tourist,16-09-2024,10-10-2024,Fall,No,Yes,10,4,3,0,No,0,50,F,Employed,Divorced,Yes,Yes,No,Yes,No,Office E - Border,Approved,
APP000026,Peru,Sweden,Online,Business,06-11-2023,22-12-2023,Fall,No,Yes,13,3,0,2,No,0,15,M,Employed,Married,No,Yes,No,Yes,No,Office E - Border,Rejected,Incomplete Documentation
